id,latitude,longitude,rank,data
24108,32.992300,112.523400,1,19
24745,34.749491,113.646087,1,19
20577,35.086000,112.940000,1,19
16856,35.046130,112.600987,1,19
11791,33.070526,112.924001,1,19
11770,34.453666,113.049387,1,19
11591,32.365194,113.396306,1,19
11582,33.039083,112.244833,1,19
891,34.749721,113.645183,1,19
892,34.741145,113.680212,1,19
1796,33.018889,112.498142,1,19
1784,32.172396,114.538790,1,19
569,34.789043,111.168221,1,19
1,36.101383,114.361148,1,19
4548,33.531616,114.061237,1,19
9770,34.807217,114.350575,1,19
3845,32.007999,114.912691,1,19
3841,34.091082,115.305708,1,19
3717,33.596972,114.011259,1,19
3388,0.000000,0.000000,1,19
3393,0.000000,0.000000,1,18
3803,34.454588,113.069407,1,18
5364,35.099157,113.401745,1,18
8301,36.087752,114.398170,1,18
363,34.794520,114.296905,1,18
1789,32.967671,114.030465,1,18
1806,34.827096,114.318631,1,18
1807,33.568452,114.057393,1,18
12093,35.939315,114.386143,1,18
12055,33.039167,111.845361,1,18
13159,34.789597,114.342169,1,18
13119,33.566275,113.974987,1,18
13126,34.717889,111.109592,1,18
16852,34.928431,112.524757,1,18
24740,33.781429,111.642917,1,18
13538,33.029125,112.563346,1,17
11774,33.982583,113.213634,1,17
11787,33.257260,113.008190,1,17
12101,33.741847,112.978271,1,17
11601,33.388443,115.073350,1,17
11613,31.610833,114.870833,1,17
11753,33.947523,116.460375,1,17
895,34.802886,113.681189,1,17
1818,35.271432,113.890242,1,17
1820,35.243572,113.899216,1,17
1822,35.067243,112.601919,1,17
1811,34.111363,113.829853,1,17
566,34.773247,111.200827,1,17
5127,34.781596,111.196664,1,17
3387,0.000000,0.000000,1,17
3385,0.000000,0.000000,1,17
3378,0.000000,0.000000,1,16
3806,34.411062,114.188239,1,16
4697,34.901082,112.581964,1,16
440,34.686558,112.499947,1,16
11653,34.229986,116.161304,1,16
11583,33.560530,114.620100,1,16
11594,33.805816,114.532067,1,16
11598,32.197756,114.509762,1,16
10038,34.918647,112.786048,1,16
11765,34.780331,113.404999,1,16
11934,32.603600,114.396700,1,16
13585,35.709639,115.029861,1,16
12945,35.300936,114.066492,1,16
15219,34.662000,112.367700,1,16
20586,34.748889,111.868611,1,16
17862,34.519019,110.395152,1,16
23885,34.662222,112.373543,1,16
24224,34.827257,114.795178,1,16
23884,35.540201,114.530645,1,15
24798,34.205170,113.801852,1,15
17859,34.761389,111.843611,1,15
15179,33.590600,114.096700,1,15
12307,33.729700,113.302500,1,15
12273,35.068000,112.633000,1,15
11775,33.965251,113.234232,1,15
11784,35.047514,114.430950,1,15
12094,35.957669,114.894849,1,15
12089,33.622365,113.364662,1,15
10093,33.436006,113.592321,1,15
11288,34.135600,112.485400,1,15
